record_id;redcap_repeat_instrument;redcap_repeat_instance;redcap_survey_identifier;form_1_timestamp;form_1_complete;wear_log_timestamp;wearlog_type;wearlog_event;wearlog_off;reason;wearlog_on;wearlog_bed;radius;wearlog_bag;wearlog_place;wearlog_motion;wearlog_past;wearlog_bp;wearlog_past_off;wearlog_past_on;wearlog_past_sleep;radius_past_time;radius_past;radius_past_back;wearlog_past_bag;wearlog_past_location;wearlog_past_motion;uuid;startdate;enddate;scheduledate;status;supplementaldata;serializedresult;wear_log_complete
THUAS_S003;wear_log;10;;;;;0;0;19-3-2025 19:28;1;;;;1;;0;;;;;;;;;;;;FE3A64E0-04EF-11F0-9E39-DF5FAF417940;19-3-2025 19:28;19-3-2025 19:29;;1;"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-03-19 19:29:19"",    ""utcTime"": ""2025-03-19 18:28:45.742546Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""SM-G996B"",    ""percentComplete"": ""29""  }";result.zip;0
THUAS_S003;wear_log;11;;;;;0;1;;;19-3-2025 23:21;;;;;;;;;;;;;;;;;894BB0A0-0510-11F0-AF50-573956B47A4A;19-3-2025 23:21;19-3-2025 23:21;;1;"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-03-19 23:22:00"",    ""utcTime"": ""2025-03-19 22:21:42.954793Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""SM-G996B"",    ""percentComplete"": ""15""  }";result.zip;0
THUAS_S003;wear_log;12;;;;;0;2;;;;19-3-2025 23:44;;;;;;;;;;;;;;;;C06A39F0-0513-11F0-9C17-55E643E81FB9;19-3-2025 23:44;19-3-2025 23:45;;1;"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-03-19 23:45:02"",    ""utcTime"": ""2025-03-19 22:44:43.919330Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""SM-G996B"",    ""percentComplete"": ""15""  }";result.zip;0
THUAS_S003;wear_log;13;;;;;0;1;;;20-3-2025 6:56;;;;;;;;;;;;;;;;;00B85B90-0550-11F0-BFC1-E9B6CF945813;20-3-2025 6:56;20-3-2025 6:56;;1;"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-03-20 06:56:19"",    ""utcTime"": ""2025-03-20 05:56:01.609173Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""SM-G996B"",    ""percentComplete"": ""15""  }";result.zip;0
THUAS_S003;wear_log;14;;;;;0;0;20-3-2025 7:31;2;;;;0;nachtkastje;0;;;;;;;;;;;;FCA88660-0554-11F0-BFC1-E9B6CF945813;20-3-2025 7:31;20-3-2025 7:32;;1;"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-03-20 07:32:37"",    ""utcTime"": ""2025-03-20 06:31:42.278882Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""SM-G996B"",    ""percentComplete"": ""34""  }";result.zip;0
THUAS_S003;wear_log;15;;;;;0;1;;;21-3-2025 6:57;;;;;;;;;;;;;;;;;4EF20BC0-0619-11F0-9812-07C793C2FA29;21-3-2025 6:57;21-3-2025 6:57;;1;"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-03-21 06:57:19"",    ""utcTime"": ""2025-03-21 05:57:01.692100Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""SM-G996B"",    ""percentComplete"": ""15""  }";result.zip;0
THUAS_S003;wear_log;16;;;;;0;0;21-3-2025 11:28;4;;;;1;;0;;;;;;;;;;;;32990200-063F-11F0-8E2E-A74C6B2D99D1;21-3-2025 11:28;21-3-2025 11:28;;1;"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-03-21 11:28:48"",    ""utcTime"": ""2025-03-21 10:28:15.008263Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""SM-G996B"",    ""percentComplete"": ""29""  }";result.zip;0
THUAS_S003;wear_log;17;;;;;0;1;;;21-3-2025 12:14;;;;;;;;;;;;;;;;;A1A06980-0645-11F0-8E2E-A74C6B2D99D1;21-3-2025 12:14;21-3-2025 12:14;;1;"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-03-21 14:00:37.264821"",    ""utcTime"": ""2025-03-21 11:14:18.264330Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""SM-G996B"",    ""percentComplete"": ""15""  }";result.zip;0
THUAS_S003;wear_log;18;;;;;0;2;;;;21-3-2025 21:53;;;;;;;;;;;;;;;;807E3060-0696-11F0-AE6C-E1FAFD64A4BA;21-3-2025 21:53;21-3-2025 21:53;;1;"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-03-21 21:53:30"",    ""utcTime"": ""2025-03-21 20:53:11.909957Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""SM-G996B"",    ""percentComplete"": ""15""  }";result.zip;0
THUAS_S003;wear_log;19;;;;;0;1;;;22-3-2025 8:47;;;;;;;;;;;;;;;;;F44E9100-06F1-11F0-B93B-732859409BF8;22-3-2025 8:47;22-3-2025 8:48;;1;"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-03-22 08:48:06"",    ""utcTime"": ""2025-03-22 07:47:50.416856Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""SM-G996B"",    ""percentComplete"": ""15""  }";result.zip;0
THUAS_S003;wear_log;20;;;;;0;0;22-3-2025 9:57;2;;;;1;;0;;;;;;;;;;;;B6FA4BA0-06FB-11F0-9D75-B580D6847AB4;22-3-2025 9:57;22-3-2025 9:58;;1;"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-03-22 09:58:14"",    ""utcTime"": ""2025-03-22 08:57:42.490112Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""SM-G996B"",    ""percentComplete"": ""29""  }";result.zip;0
THUAS_S003;wear_log;21;;;;;0;0;22-3-2025 21:29;4;;;;1;;0;;;;;;;;;;;;47531BE0-075C-11F0-8C35-2F881B51571A;22-3-2025 21:28;22-3-2025 21:29;;1;"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-03-22 21:29:32"",    ""utcTime"": ""2025-03-22 20:28:56.350692Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""SM-G996B"",    ""percentComplete"": ""29""  }";result.zip;0
THUAS_S003;wear_log;22;;;;;0;2;;;;22-3-2025 22:19;;;;;;;;;;;;;;;;4A89FFC0-0763-11F0-AB69-9347F49EA038;22-3-2025 22:19;22-3-2025 22:19;;1;"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-03-22 22:19:34"",    ""utcTime"": ""2025-03-22 21:19:08.219925Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""SM-G996B"",    ""percentComplete"": ""15""  }";result.zip;0
THUAS_S003;wear_log;23;;;;;0;1;;;23-3-2025 8:34;;;;;;;;;;;;;;;;;443DCB50-07B9-11F0-9847-CBFB7F05E7EC;23-3-2025 8:34;23-3-2025 8:34;;1;"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-03-23 08:34:55"",    ""utcTime"": ""2025-03-23 07:34:34.373327Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""SM-G996B"",    ""percentComplete"": ""15""  }";result.zip;0
THUAS_S003;wear_log;24;;;;;0;2;;;;23-3-2025 21:47;;;;;;;;;;;;;;;;0361F1F0-0828-11F0-989B-27BE339DD9B4;23-3-2025 21:47;23-3-2025 21:47;;1;"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-03-23 21:47:35"",    ""utcTime"": ""2025-03-23 20:47:19.695131Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""SM-G996B"",    ""percentComplete"": ""15""  }";result.zip;0
THUAS_S003;wear_log;25;;;;;0;1;;;24-3-2025 6:49;;;;;;;;;;;;;;;;;BEE3D970-0873-11F0-B73D-09CE09306ADD;24-3-2025 6:49;24-3-2025 6:49;;1;"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-03-24 06:49:44"",    ""utcTime"": ""2025-03-24 05:49:26.535135Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""SM-G996B"",    ""percentComplete"": ""15""  }";result.zip;0
THUAS_S003;wear_log;26;;;;;0;0;24-3-2025 7:19;2;;;;1;;0;;;;;;;;;;;;D9B4F190-0877-11F0-B977-616867C977C2;24-3-2025 7:18;24-3-2025 7:19;;1;"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-03-24 07:19:47"",    ""utcTime"": ""2025-03-24 06:18:49.513531Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""SM-G996B"",    ""percentComplete"": ""29""  }";result.zip;0
THUAS_S003;wear_log;27;;;;;0;1;;;24-3-2025 7:39;;;;;;;;;;;;;;;;;CA6B7E40-087A-11F0-B977-616867C977C2;24-3-2025 7:39;24-3-2025 7:40;;1;"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-03-24 07:40:07"",    ""utcTime"": ""2025-03-24 06:39:52.356686Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""SM-G996B"",    ""percentComplete"": ""15""  }";result.zip;0
THUAS_S003;wear_log;28;;;;;0;6;;;;;;;;;;;;;;;;;;;;BD2032A0-0882-11F0-B977-616867C977C2;24-3-2025 8:36;24-3-2025 8:37;;1;"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-03-24 08:37:19"",    ""utcTime"": ""2025-03-24 07:36:46.026712Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""SM-G996B"",    ""percentComplete"": ""10""  }";result.zip;0
